"Ano","CBO","Motivo/Situação","Qte Acidentes","Situacao"
"2004","Membros das Forças Armadas","Típico-Com Cat","310","Com Cat Registrada"
"2004","Membros das Forças Armadas","Trajeto-Com Cat","69","Com Cat Registrada"
"2004","Membros das Forças Armadas","Doença do Trabalho-Com Cat","15","Com Cat Registrada"
"2004","Policiais Militares","Típico-Com Cat","286","Com Cat Registrada"
"2004","Policiais Militares","Trajeto-Com Cat","39","Com Cat Registrada"
"2004","Policiais Militares","Doença do Trabalho-Com Cat","19","Com Cat Registrada"
"2004","Bombeiros Militares","Típico-Com Cat","712","Com Cat Registrada"
"2004","Bombeiros Militares","Trajeto-Com Cat","265","Com Cat Registrada"
"2004","Bombeiros Militares","Doença do Trabalho-Com Cat","233","Com Cat Registrada"
"2004","Membros Superiores e Dirigentes do Poder Públ","Típico-Com Cat","153","Com Cat Registrada"
"2004","Membros Superiores e Dirigentes do Poder Públ","Trajeto-Com Cat","43","Com Cat Registrada"
"2004","Membros Superiores e Dirigentes do Poder Públ","Doença do Trabalho-Com Cat","14","Com Cat Registrada"
"2004","Dirigentes de Empresas e Organizações (Exceto","Típico-Com Cat","135","Com Cat Registrada"
"2004","Dirigentes de Empresas e Organizações (Exceto","Trajeto-Com Cat","44","Com Cat Registrada"
"2004","Dirigentes de Empresas e Organizações (Exceto","Doença do Trabalho-Com Cat","20","Com Cat Registrada"
"2004","Diretores e Gerentes em Empresa de Serviços D","Típico-Com Cat","51","Com Cat Registrada"
"2004","Diretores e Gerentes em Empresa de Serviços D","Trajeto-Com Cat","21","Com Cat Registrada"
"2004","Diretores e Gerentes em Empresa de Serviços D","Doença do Trabalho-Com Cat","8","Com Cat Registrada"
"2004","Gerentes","Típico-Com Cat","2329","Com Cat Registrada"
"2004","Gerentes","Trajeto-Com Cat","670","Com Cat Registrada"
"2004","Gerentes","Doença do Trabalho-Com Cat","567","Com Cat Registrada"
"2004","Pesquisadores e Profissionais Policientíficos","Típico-Com Cat","56","Com Cat Registrada"
"2004","Pesquisadores e Profissionais Policientíficos","Trajeto-Com Cat","12","Com Cat Registrada"
"2004","Pesquisadores e Profissionais Policientíficos","Doença do Trabalho-Com Cat","6","Com Cat Registrada"
"2004","Profissionais das Ciências Exatas, Físicas e","Típico-Com Cat","870","Com Cat Registrada"
"2004","Profissionais das Ciências Exatas, Físicas e","Trajeto-Com Cat","437","Com Cat Registrada"
"2004","Profissionais das Ciências Exatas, Físicas e","Doença do Trabalho-Com Cat","176","Com Cat Registrada"
"2004","Profissionais das Ciências Biológicas, da Saú","Típico-Com Cat","2985","Com Cat Registrada"
"2004","Profissionais das Ciências Biológicas, da Saú","Trajeto-Com Cat","488","Com Cat Registrada"
"2004","Profissionais das Ciências Biológicas, da Saú","Doença do Trabalho-Com Cat","86","Com Cat Registrada"
"2004","Profissionais do Ensino","Típico-Com Cat","939","Com Cat Registrada"
"2004","Profissionais do Ensino","Trajeto-Com Cat","473","Com Cat Registrada"
"2004","Profissionais do Ensino","Doença do Trabalho-Com Cat","170","Com Cat Registrada"
"2004","Profissionais das Ciências Jurídicas","Típico-Com Cat","71","Com Cat Registrada"
"2004","Profissionais das Ciências Jurídicas","Trajeto-Com Cat","38","Com Cat Registrada"
"2004","Profissionais das Ciências Jurídicas","Doença do Trabalho-Com Cat","18","Com Cat Registrada"
"2004","Profissionais das Ciências Sociais e Humanas","Típico-Com Cat","2052","Com Cat Registrada"
"2004","Profissionais das Ciências Sociais e Humanas","Trajeto-Com Cat","837","Com Cat Registrada"
"2004","Profissionais das Ciências Sociais e Humanas","Doença do Trabalho-Com Cat","594","Com Cat Registrada"
"2004","Comunicadores, Artistas e Religiosos","Típico-Com Cat","288","Com Cat Registrada"
"2004","Comunicadores, Artistas e Religiosos","Trajeto-Com Cat","144","Com Cat Registrada"
"2004","Comunicadores, Artistas e Religiosos","Doença do Trabalho-Com Cat","84","Com Cat Registrada"
"2004","Técnicos Polivalentes","Típico-Com Cat","359","Com Cat Registrada"
"2004","Técnicos Polivalentes","Trajeto-Com Cat","57","Com Cat Registrada"
"2004","Técnicos Polivalentes","Doença do Trabalho-Com Cat","23","Com Cat Registrada"
"2004","Técnicos de Nível Médio das Ciências Físicas,","Típico-Com Cat","4492","Com Cat Registrada"
"2004","Técnicos de Nível Médio das Ciências Físicas,","Trajeto-Com Cat","1035","Com Cat Registrada"
"2004","Técnicos de Nível Médio das Ciências Físicas,","Doença do Trabalho-Com Cat","393","Com Cat Registrada"
"2004","Técnicos de Nível Médio das Ciências Biológic","Típico-Com Cat","16404","Com Cat Registrada"
"2004","Técnicos de Nível Médio das Ciências Biológic","Trajeto-Com Cat","2273","Com Cat Registrada"
"2004","Técnicos de Nível Médio das Ciências Biológic","Doença do Trabalho-Com Cat","345","Com Cat Registrada"
"2004","Professores Leigos e de Nível Médio","Típico-Com Cat","517","Com Cat Registrada"
"2004","Professores Leigos e de Nível Médio","Trajeto-Com Cat","228","Com Cat Registrada"
"2004","Professores Leigos e de Nível Médio","Doença do Trabalho-Com Cat","76","Com Cat Registrada"
"2004","Técnicos de Nível Médio em Serviços de Transp","Típico-Com Cat","1047","Com Cat Registrada"
"2004","Técnicos de Nível Médio em Serviços de Transp","Trajeto-Com Cat","178","Com Cat Registrada"
"2004","Técnicos de Nível Médio em Serviços de Transp","Doença do Trabalho-Com Cat","68","Com Cat Registrada"
"2004","Técnicos de Nivel Médio nas Ciências Administ","Típico-Com Cat","2367","Com Cat Registrada"
"2004","Técnicos de Nivel Médio nas Ciências Administ","Trajeto-Com Cat","1199","Com Cat Registrada"
"2004","Técnicos de Nivel Médio nas Ciências Administ","Doença do Trabalho-Com Cat","853","Com Cat Registrada"
"2004","Técnicos em Nivel Médio dos Serviços Culturai","Típico-Com Cat","816","Com Cat Registrada"
"2004","Técnicos em Nivel Médio dos Serviços Culturai","Trajeto-Com Cat","205","Com Cat Registrada"
"2004","Técnicos em Nivel Médio dos Serviços Culturai","Doença do Trabalho-Com Cat","70","Com Cat Registrada"
"2004","Outros Técnicos de Nível Médio","Típico-Com Cat","1636","Com Cat Registrada"
"2004","Outros Técnicos de Nível Médio","Trajeto-Com Cat","369","Com Cat Registrada"
"2004","Outros Técnicos de Nível Médio","Doença do Trabalho-Com Cat","205","Com Cat Registrada"
"2004","Escriturários","Típico-Com Cat","20353","Com Cat Registrada"
"2004","Escriturários","Trajeto-Com Cat","6964","Com Cat Registrada"
"2004","Escriturários","Doença do Trabalho-Com Cat","4635","Com Cat Registrada"
"2004","Trabalhadores de Atendimento ao Público","Típico-Com Cat","3626","Com Cat Registrada"
"2004","Trabalhadores de Atendimento ao Público","Trajeto-Com Cat","2669","Com Cat Registrada"
"2004","Trabalhadores de Atendimento ao Público","Doença do Trabalho-Com Cat","2260","Com Cat Registrada"
"2004","Trabalhadores dos Serviços","Típico-Com Cat","41506","Com Cat Registrada"
"2004","Trabalhadores dos Serviços","Trajeto-Com Cat","11618","Com Cat Registrada"
"2004","Trabalhadores dos Serviços","Doença do Trabalho-Com Cat","3306","Com Cat Registrada"
"2004","Vendedores e Prestadores de Serviços do Comér","Típico-Com Cat","7744","Com Cat Registrada"
"2004","Vendedores e Prestadores de Serviços do Comér","Trajeto-Com Cat","3489","Com Cat Registrada"
"2004","Vendedores e Prestadores de Serviços do Comér","Doença do Trabalho-Com Cat","585","Com Cat Registrada"
"2004","Produtores na Exploração Agropecuária","Típico-Com Cat","2385","Com Cat Registrada"
"2004","Produtores na Exploração Agropecuária","Trajeto-Com Cat","166","Com Cat Registrada"
"2004","Produtores na Exploração Agropecuária","Doença do Trabalho-Com Cat","17","Com Cat Registrada"
"2004","Trabalhadores na Exploração Agropecuária","Típico-Com Cat","38508","Com Cat Registrada"
"2004","Trabalhadores na Exploração Agropecuária","Trajeto-Com Cat","1834","Com Cat Registrada"
"2004","Trabalhadores na Exploração Agropecuária","Doença do Trabalho-Com Cat","402","Com Cat Registrada"
"2004","Pescadores e Extrativistas Florestais","Típico-Com Cat","3723","Com Cat Registrada"
"2004","Pescadores e Extrativistas Florestais","Trajeto-Com Cat","180","Com Cat Registrada"
"2004","Pescadores e Extrativistas Florestais","Doença do Trabalho-Com Cat","63","Com Cat Registrada"
"2004","Trabalhadores da Mecanização Agropecuária e F","Típico-Com Cat","2227","Com Cat Registrada"
"2004","Trabalhadores da Mecanização Agropecuária e F","Trajeto-Com Cat","151","Com Cat Registrada"
"2004","Trabalhadores da Mecanização Agropecuária e F","Doença do Trabalho-Com Cat","56","Com Cat Registrada"
"2004","Trabalhadores da Indústria Extrativa e da Con","Típico-Com Cat","30089","Com Cat Registrada"
"2004","Trabalhadores da Indústria Extrativa e da Con","Trajeto-Com Cat","2745","Com Cat Registrada"
"2004","Trabalhadores da Indústria Extrativa e da Con","Doença do Trabalho-Com Cat","1270","Com Cat Registrada"
"2004","Trabalhadores da Transformação de Metais e De","Típico-Com Cat","35274","Com Cat Registrada"
"2004","Trabalhadores da Transformação de Metais e De","Trajeto-Com Cat","2632","Com Cat Registrada"
"2004","Trabalhadores da Transformação de Metais e De","Doença do Trabalho-Com Cat","2470","Com Cat Registrada"
"2004","Trabalhadores da Fabricação e Instalação Elet","Típico-Com Cat","4448","Com Cat Registrada"
"2004","Trabalhadores da Fabricação e Instalação Elet","Trajeto-Com Cat","678","Com Cat Registrada"
"2004","Trabalhadores da Fabricação e Instalação Elet","Doença do Trabalho-Com Cat","525","Com Cat Registrada"
"2004","Montadores de Aparelhos e Instrumentos de Pre","Típico-Com Cat","168","Com Cat Registrada"
"2004","Montadores de Aparelhos e Instrumentos de Pre","Trajeto-Com Cat","19","Com Cat Registrada"
"2004","Montadores de Aparelhos e Instrumentos de Pre","Doença do Trabalho-Com Cat","26","Com Cat Registrada"
"2004","Joalheiros, Vidreiros, Ceramistas e Afins","Típico-Com Cat","1552","Com Cat Registrada"
"2004","Joalheiros, Vidreiros, Ceramistas e Afins","Trajeto-Com Cat","181","Com Cat Registrada"
