"Ano","Motivo/Situação","CID","Qte Acidentes","Situação"
"2000","Típico-Com Cat","998:Outros","47649","Com Cat Registrada"
"2000","Típico-Com Cat","999:Ignorado","38246","Com Cat Registrada"
"2000","Típico-Com Cat","S61:Ferim do Punho e da Mao","35606","Com Cat Registrada"
"2000","Típico-Com Cat","S62:Frat ao Nivel do Punho e da Mao","21042","Com Cat Registrada"
"2000","Típico-Com Cat","S60:Traum Superf do Punho e da Mao","9811","Com Cat Registrada"
"2000","Típico-Com Cat","S92:Frat do Pe","8686","Com Cat Registrada"
"2000","Típico-Com Cat","S93:Luxac Entors Distens Artic Lig Niv Tornoz","8147","Com Cat Registrada"
"2000","Típico-Com Cat","M54:Dorsalgia","7799","Com Cat Registrada"
"2000","Típico-Com Cat","S68:Amput Traum ao Nivel do Punho e da Mao","7089","Com Cat Registrada"
"2000","Típico-Com Cat","S82:Frat da Perna Incl Tornozelo","6569","Com Cat Registrada"
"2000","Típico-Com Cat","S52:Frat do Antebraco","5928","Com Cat Registrada"
"2000","Típico-Com Cat","Z54:Convalescenca","5809","Com Cat Registrada"
"2000","Típico-Com Cat","S83:Luxacao Entorse Distensao Art Lig Joelho","5646","Com Cat Registrada"
"2000","Típico-Com Cat","S63:Luxac Entors Distens Artic Lig Niv Punho","5371","Com Cat Registrada"
"2000","Típico-Com Cat","S91:Ferim do Tornozelo e do Pe","5046","Com Cat Registrada"
"2000","Típico-Com Cat","M65:Sinovite e Tenossinovite","4704","Com Cat Registrada"
"2000","Típico-Com Cat","S01:Ferim da Cabeca","4644","Com Cat Registrada"
"2000","Típico-Com Cat","S81:Ferim da Perna","4306","Com Cat Registrada"
"2000","Típico-Com Cat","S50:Traum Superf do Cotovelo e do Antebraco","3867","Com Cat Registrada"
"2000","Típico-Com Cat","S90:Traum Superf do Tornozelo e do Pe","3843","Com Cat Registrada"
"2000","Típico-Com Cat","S80:Traum Superf da Perna","3283","Com Cat Registrada"
"2000","Típico-Com Cat","S51:Ferim do Antebraco","2874","Com Cat Registrada"
"2000","Típico-Com Cat","S42:Frat do Ombro e do Braco","2833","Com Cat Registrada"
"2000","Típico-Com Cat","T98:Sequelas Outr Efeitos Causas Externas e N","2594","Com Cat Registrada"
"2000","Típico-Com Cat","T15:Corpo Estranho na Parte Externa do Olho","2473","Com Cat Registrada"
"2000","Típico-Com Cat","S67:Lesao p/Esmag do Punho e da Mao","1868","Com Cat Registrada"
"2000","Típico-Com Cat","S43:Luxacao Entorse Distens Artic Lig Cint Es","1835","Com Cat Registrada"
"2000","Típico-Com Cat","T23:Queim e Corrosao do Punho e da Mao","1683","Com Cat Registrada"
"2000","Típico-Com Cat","S69:Outr Traum e Os Ne do Punho e da Mao","1593","Com Cat Registrada"
"2000","Típico-Com Cat","S20:Traum Superf do Torax","1581","Com Cat Registrada"
"2000","Típico-Com Cat","S66:Traum de Musculo e Tendao Nivel Punho e M","1576","Com Cat Registrada"
"2000","Típico-Com Cat","S05:Traum do Olho e da Orbita Ocular","1528","Com Cat Registrada"
"2000","Típico-Com Cat","S22:Frat de Costelas Esterno e Coluna Toracic","1497","Com Cat Registrada"
"2000","Típico-Com Cat","S40:Traum Superf do Ombro e do Braco","1461","Com Cat Registrada"
"2000","Típico-Com Cat","S41:Ferim do Ombro e do Braco","1387","Com Cat Registrada"
"2000","Típico-Com Cat","T14:Traum de Regiao Ne do Corpo","1377","Com Cat Registrada"
"2000","Típico-Com Cat","S33:Luxac Entors Dist Artic Lig Col Lombar Pe","1373","Com Cat Registrada"
"2000","Típico-Com Cat","S70:Traum Superf do Quadril e da Coxa","1369","Com Cat Registrada"
"2000","Típico-Com Cat","S32:Frat da Coluna Lombar e da Pelve","1344","Com Cat Registrada"
