"Ano","CNAE","Motivo","Qte Acidentes Registrados","Situação","GrupoCnae","GrCnaeLetra"
"1997","Cultivo de Cereais","Típico-Com Cat","555","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Cereais","Trajeto-Com Cat","23","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Cereais","Doença do Trabalho-Com Cat","9","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Algodão Herbáceo","Típico-Com Cat","46","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Algodão Herbáceo","Trajeto-Com Cat","7","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Algodão Herbáceo","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Cana-De-Açúcar","Típico-Com Cat","10565","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Cana-De-Açúcar","Trajeto-Com Cat","179","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Cana-De-Açúcar","Doença do Trabalho-Com Cat","99","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Fumo","Típico-Com Cat","51","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Fumo","Trajeto-Com Cat","12","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Fumo","Doença do Trabalho-Com Cat","5","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Soja","Típico-Com Cat","30","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Soja","Trajeto-Com Cat","1","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Soja","Doença do Trabalho-Com Cat","0","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Outros Produtos Temporários","Típico-Com Cat","309","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Outros Produtos Temporários","Trajeto-Com Cat","9","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
"1997","Cultivo de Outros Produtos Temporários","Doença do Trabalho-Com Cat","5","Com Cat Registrada","Agric., pec.e serviços relac.","Agric., pec.,silvicultura e exploração florest"
