"Ano","Idade","Motivo/Situação","Sexo","Qte Acidentes","Situação"
"1997","Até 19 Anos","Típico-Com Cat","Masculino","7581","Com Cat Registrada"
"1997","Até 19 Anos","Típico-Com Cat","Feminino","1061","Com Cat Registrada"
"1997","Até 19 Anos","Típico-Com Cat","Ignorado","18851","Com Cat Registrada"
"1997","20 a 24 Anos","Típico-Com Cat","Masculino","15847","Com Cat Registrada"
"1997","20 a 24 Anos","Típico-Com Cat","Feminino","1934","Com Cat Registrada"
"1997","20 a 24 Anos","Típico-Com Cat","Ignorado","46188","Com Cat Registrada"
"1997","25 a 29 Anos","Típico-Com Cat","Masculino","15443","Com Cat Registrada"
"1997","25 a 29 Anos","Típico-Com Cat","Feminino","2158","Com Cat Registrada"
"1997","25 a 29 Anos","Típico-Com Cat","Ignorado","40910","Com Cat Registrada"
"1997","30 a 34 Anos","Típico-Com Cat","Masculino","14670","Com Cat Registrada"
"1997","30 a 34 Anos","Típico-Com Cat","Feminino","2247","Com Cat Registrada"
"1997","30 a 34 Anos","Típico-Com Cat","Ignorado","35319","Com Cat Registrada"
"1997","35 a 39 Anos","Típico-Com Cat","Masculino","13028","Com Cat Registrada"
"1997","35 a 39 Anos","Típico-Com Cat","Feminino","2373","Com Cat Registrada"
"1997","35 a 39 Anos","Típico-Com Cat","Ignorado","28406","Com Cat Registrada"
"1997","40 a 44 Anos","Típico-Com Cat","Masculino","11108","Com Cat Registrada"
"1997","40 a 44 Anos","Típico-Com Cat","Feminino","2065","Com Cat Registrada"
"1997","40 a 44 Anos","Típico-Com Cat","Ignorado","22022","Com Cat Registrada"
"1997","45 a 49 Anos","Típico-Com Cat","Masculino","7762","Com Cat Registrada"
"1997","45 a 49 Anos","Típico-Com Cat","Feminino","1552","Com Cat Registrada"
"1997","45 a 49 Anos","Típico-Com Cat","Ignorado","14448","Com Cat Registrada"
"1997","50 a 54 Anos","Típico-Com Cat","Masculino","4831","Com Cat Registrada"
"1997","50 a 54 Anos","Típico-Com Cat","Feminino","1035","Com Cat Registrada"
"1997","50 a 54 Anos","Típico-Com Cat","Ignorado","8144","Com Cat Registrada"
"1997","55 a 59 Anos","Típico-Com Cat","Masculino","2827","Com Cat Registrada"
"1997","55 a 59 Anos","Típico-Com Cat","Feminino","437","Com Cat Registrada"
"1997","55 a 59 Anos","Típico-Com Cat","Ignorado","4225","Com Cat Registrada"
"1997","60 a 64 Anos","Típico-Com Cat","Masculino","1076","Com Cat Registrada"
"1997","60 a 64 Anos","Típico-Com Cat","Feminino","77","Com Cat Registrada"
"1997","60 a 64 Anos","Típico-Com Cat","Ignorado","1954","Com Cat Registrada"
"1997","65 a 69 Anos","Típico-Com Cat","Masculino","155","Com Cat Registrada"
"1997","65 a 69 Anos","Típico-Com Cat","Feminino","13","Com Cat Registrada"
"1997","65 a 69 Anos","Típico-Com Cat","Ignorado","684","Com Cat Registrada"
