"Ano","Parte atingida","Motivo/Situação","Qte Acidentes","Situação"
"2002","Crânio (Inclusive Encéfalo)","Típico-Com Cat","735","Com Cat Registrada"
"2002","Crânio (Inclusive Encéfalo)","Trajeto-Com Cat","358","Com Cat Registrada"
"2002","Crânio (Inclusive Encéfalo)","Doença do Trabalho-Com Cat","7","Com Cat Registrada"
"2002","Ouvido (Externo, Médio, Interno, Audição e Eq","Típico-Com Cat","1947","Com Cat Registrada"
"2002","Ouvido (Externo, Médio, Interno, Audição e Eq","Trajeto-Com Cat","36","Com Cat Registrada"
"2002","Ouvido (Externo, Médio, Interno, Audição e Eq","Doença do Trabalho-Com Cat","3883","Com Cat Registrada"
"2002","Olho (Inclusive Nervo Ótico e Visão)","Típico-Com Cat","13139","Com Cat Registrada"
"2002","Olho (Inclusive Nervo Ótico e Visão)","Trajeto-Com Cat","299","Com Cat Registrada"
"2002","Olho (Inclusive Nervo Ótico e Visão)","Doença do Trabalho-Com Cat","52","Com Cat Registrada"
"2002","Nariz (Inclusive Fossas Nasais, Seios da Face","Típico-Com Cat","1044","Com Cat Registrada"
"2002","Nariz (Inclusive Fossas Nasais, Seios da Face","Trajeto-Com Cat","155","Com Cat Registrada"
"2002","Nariz (Inclusive Fossas Nasais, Seios da Face","Doença do Trabalho-Com Cat","33","Com Cat Registrada"
"2002","Boca (Inclusive Lábios, Dentes, Língua, Garga","Típico-Com Cat","1128","Com Cat Registrada"
"2002","Boca (Inclusive Lábios, Dentes, Língua, Garga","Trajeto-Com Cat","179","Com Cat Registrada"
"2002","Boca (Inclusive Lábios, Dentes, Língua, Garga","Doença do Trabalho-Com Cat","91","Com Cat Registrada"
"2002","Mandíbula (Inclusive Queixo)","Típico-Com Cat","401","Com Cat Registrada"
"2002","Mandíbula (Inclusive Queixo)","Trajeto-Com Cat","119","Com Cat Registrada"
"2002","Mandíbula (Inclusive Queixo)","Doença do Trabalho-Com Cat","3","Com Cat Registrada"
"2002","Face, Partes Múltiplas","Típico-Com Cat","4505","Com Cat Registrada"
"2002","Face, Partes Múltiplas","Trajeto-Com Cat","927","Com Cat Registrada"
"2002","Face, Partes Múltiplas","Doença do Trabalho-Com Cat","54","Com Cat Registrada"
"2002","Cabeça, Partes Múltiplas","Típico-Com Cat","3602","Com Cat Registrada"
"2002","Cabeça, Partes Múltiplas","Trajeto-Com Cat","1524","Com Cat Registrada"
"2002","Cabeça, Partes Múltiplas","Doença do Trabalho-Com Cat","60","Com Cat Registrada"
"2002","Cabeça, não Informado","Típico-Com Cat","8214","Com Cat Registrada"
"2002","Cabeça, não Informado","Trajeto-Com Cat","1676","Com Cat Registrada"
"2002","Cabeça, não Informado","Doença do Trabalho-Com Cat","111","Com Cat Registrada"
"2002","Braço (Entre O Punho e O Ombro)","Típico-Com Cat","13269","Com Cat Registrada"
"2002","Braço (Entre O Punho e O Ombro)","Trajeto-Com Cat","2736","Com Cat Registrada"
"2002","Braço (Entre O Punho e O Ombro)","Doença do Trabalho-Com Cat","2592","Com Cat Registrada"
"2002","Braço (Acima do Cotovelo)","Típico-Com Cat","5321","Com Cat Registrada"
"2002","Braço (Acima do Cotovelo)","Trajeto-Com Cat","1107","Com Cat Registrada"
"2002","Braço (Acima do Cotovelo)","Doença do Trabalho-Com Cat","509","Com Cat Registrada"
"2002","Pescoço","Típico-Com Cat","1261","Com Cat Registrada"
"2002","Pescoço","Trajeto-Com Cat","293","Com Cat Registrada"
"2002","Pescoço","Doença do Trabalho-Com Cat","61","Com Cat Registrada"
"2002","Cotovelo","Típico-Com Cat","2400","Com Cat Registrada"
"2002","Cotovelo","Trajeto-Com Cat","553","Com Cat Registrada"
"2002","Cotovelo","Doença do Trabalho-Com Cat","416","Com Cat Registrada"
"2002","Antebraço (Entre O Punho e O Cotovelo)","Típico-Com Cat","11836","Com Cat Registrada"
"2002","Antebraço (Entre O Punho e O Cotovelo)","Trajeto-Com Cat","1912","Com Cat Registrada"
"2002","Antebraço (Entre O Punho e O Cotovelo)","Doença do Trabalho-Com Cat","1496","Com Cat Registrada"
"2002","Punho","Típico-Com Cat","6483","Com Cat Registrada"
"2002","Punho","Trajeto-Com Cat","862","Com Cat Registrada"
"2002","Punho","Doença do Trabalho-Com Cat","1980","Com Cat Registrada"
"2002","Mão (Exceto Punho ou Dedos)","Típico-Com Cat","35753","Com Cat Registrada"
"2002","Mão (Exceto Punho ou Dedos)","Trajeto-Com Cat","1940","Com Cat Registrada"
"2002","Mão (Exceto Punho ou Dedos)","Doença do Trabalho-Com Cat","893","Com Cat Registrada"
"2002","Dedo","Típico-Com Cat","86185","Com Cat Registrada"
"2002","Dedo","Trajeto-Com Cat","1977","Com Cat Registrada"
"2002","Dedo","Doença do Trabalho-Com Cat","299","Com Cat Registrada"
"2002","Membros Superiores, Partes Múltiplas","Típico-Com Cat","2852","Com Cat Registrada"
"2002","Membros Superiores, Partes Múltiplas","Trajeto-Com Cat","751","Com Cat Registrada"
"2002","Membros Superiores, Partes Múltiplas","Doença do Trabalho-Com Cat","1340","Com Cat Registrada"
"2002","Membros Superiores, não Informado","Típico-Com Cat","3125","Com Cat Registrada"
"2002","Membros Superiores, não Informado","Trajeto-Com Cat","495","Com Cat Registrada"
"2002","Membros Superiores, não Informado","Doença do Trabalho-Com Cat","2013","Com Cat Registrada"
"2002","Ombro","Típico-Com Cat","7059","Com Cat Registrada"
"2002","Ombro","Trajeto-Com Cat","2029","Com Cat Registrada"
"2002","Ombro","Doença do Trabalho-Com Cat","2537","Com Cat Registrada"
"2002","Tórax (Inclusive Órgãos Internos)","Típico-Com Cat","3296","Com Cat Registrada"
"2002","Tórax (Inclusive Órgãos Internos)","Trajeto-Com Cat","742","Com Cat Registrada"
"2002","Tórax (Inclusive Órgãos Internos)","Doença do Trabalho-Com Cat","77","Com Cat Registrada"
"2002","Dorso (Inclusive Músculos Dorsais, Coluna e M","Típico-Com Cat","17521","Com Cat Registrada"
"2002","Dorso (Inclusive Músculos Dorsais, Coluna e M","Trajeto-Com Cat","1555","Com Cat Registrada"
"2002","Dorso (Inclusive Músculos Dorsais, Coluna e M","Doença do Trabalho-Com Cat","1743","Com Cat Registrada"
"2002","Abdome (Inclusive Órgãos Internos)","Típico-Com Cat","2212","Com Cat Registrada"
"2002","Abdome (Inclusive Órgãos Internos)","Trajeto-Com Cat","540","Com Cat Registrada"
"2002","Abdome (Inclusive Órgãos Internos)","Doença do Trabalho-Com Cat","148","Com Cat Registrada"
