"Ano","Unidade da Federação","Motivo/Situação","Qte Acidentes"
"1988","Rondônia","Típico-Com Cat","592"
"1988","Acre","Típico-Com Cat","115"
"1988","Amazonas","Típico-Com Cat","5173"
"1988","Pará","Típico-Com Cat","12172"
"1988","Maranhão","Típico-Com Cat","5916"
"1988","Piauí","Típico-Com Cat","761"
"1988","Ceará","Típico-Com Cat","6117"
"1988","Rio Grande do Norte","Típico-Com Cat","3821"
"1988","Paraíba","Típico-Com Cat","2491"
"1988","Pernambuco","Típico-Com Cat","17186"
"1988","Alagoas","Típico-Com Cat","3155"
"1988","Sergipe","Típico-Com Cat","3962"
"1988","Bahia","Típico-Com Cat","18695"
"1988","Minas Gerais","Típico-Com Cat","91068"
"1988","Espírito Santo","Típico-Com Cat","11947"
"1988","Rio de Janeiro","Típico-Com Cat","83928"
"1988","São Paulo","Típico-Com Cat","419981"
"1988","Paraná","Típico-Com Cat","67303"
"1988","Santa Catarina","Típico-Com Cat","49680"
"1988","Rio Grande do Sul","Típico-Com Cat","93758"
"1988","Mato Grosso do Sul","Típico-Com Cat","4844"
"1988","Mato Grosso","Típico-Com Cat","2876"
"1988","Goiás","Típico-Com Cat","16963"
"1988","Distrito Federal","Típico-Com Cat","3850"
"1988","Rondônia","Trajeto-Com Cat","78"
"1988","Acre","Trajeto-Com Cat","32"
"1988","Amazonas","Trajeto-Com Cat","540"
"1988","Pará","Trajeto-Com Cat","495"
"1988","Maranhão","Trajeto-Com Cat","100"
"1988","Piauí","Trajeto-Com Cat","80"
"1988","Ceará","Trajeto-Com Cat","671"
"1988","Rio Grande do Norte","Trajeto-Com Cat","249"
"1988","Paraíba","Trajeto-Com Cat","101"
"1988","Pernambuco","Trajeto-Com Cat","1247"
"1988","Alagoas","Trajeto-Com Cat","41"
"1988","Sergipe","Trajeto-Com Cat","185"
"1988","Bahia","Trajeto-Com Cat","495"
"1988","Minas Gerais","Trajeto-Com Cat","3958"
"1988","Espírito Santo","Trajeto-Com Cat","552"
"1988","Rio de Janeiro","Trajeto-Com Cat","11573"
"1988","São Paulo","Trajeto-Com Cat","24716"
"1988","Paraná","Trajeto-Com Cat","3533"
"1988","Santa Catarina","Trajeto-Com Cat","3545"
"1988","Rio Grande do Sul","Trajeto-Com Cat","5230"
"1988","Mato Grosso do Sul","Trajeto-Com Cat","269"
"1988","Mato Grosso","Trajeto-Com Cat","186"
