"Tabela 6579 - População residente estimada"
"Unidade da Federação";"Ano";"Variável";""
"Rondônia";"2001";"População residente estimada (Pessoas)";"1407886"
"Rondônia";"2002";"População residente estimada (Pessoas)";"1431777"
"Rondônia";"2003";"População residente estimada (Pessoas)";"1455907"
"Rondônia";"2004";"População residente estimada (Pessoas)";"1562085"
"Rondônia";"2005";"População residente estimada (Pessoas)";"1534594"
"Rondônia";"2006";"População residente estimada (Pessoas)";"1562417"
"Rondônia";"2008";"População residente estimada (Pessoas)";"1493565"
"Rondônia";"2009";"População residente estimada (Pessoas)";"1503928"
"Rondônia";"2011";"População residente estimada (Pessoas)";"1576455"
"Rondônia";"2012";"População residente estimada (Pessoas)";"1590011"
"Rondônia";"2013";"População residente estimada (Pessoas)";"1728214"
"Rondônia";"2014";"População residente estimada (Pessoas)";"1748531"
"Rondônia";"2015";"População residente estimada (Pessoas)";"1768204"
"Rondônia";"2016";"População residente estimada (Pessoas)";"1787279"
"Acre";"2001";"População residente estimada (Pessoas)";"574355"
"Acre";"2002";"População residente estimada (Pessoas)";"586942"
"Acre";"2003";"População residente estimada (Pessoas)";"600595"
"Acre";"2004";"População residente estimada (Pessoas)";"630328"
"Acre";"2005";"População residente estimada (Pessoas)";"669736"
"Acre";"2006";"População residente estimada (Pessoas)";"686652"
"Acre";"2008";"População residente estimada (Pessoas)";"680075"
"Acre";"2009";"População residente estimada (Pessoas)";"691132"
"Acre";"2011";"População residente estimada (Pessoas)";"746386"
"Acre";"2012";"População residente estimada (Pessoas)";"758786"
"Acre";"2013";"População residente estimada (Pessoas)";"776463"
"Acre";"2014";"População residente estimada (Pessoas)";"790101"
"Acre";"2015";"População residente estimada (Pessoas)";"803513"
"Acre";"2016";"População residente estimada (Pessoas)";"816687"
"Amazonas";"2001";"População residente estimada (Pessoas)";"2900240"
"Amazonas";"2002";"População residente estimada (Pessoas)";"2961801"
"Amazonas";"2003";"População residente estimada (Pessoas)";"3031068"
"Amazonas";"2004";"População residente estimada (Pessoas)";"3138726"
"Amazonas";"2005";"População residente estimada (Pessoas)";"3232330"
"Amazonas";"2006";"População residente estimada (Pessoas)";"3311026"
"Amazonas";"2008";"População residente estimada (Pessoas)";"3341094"
"Amazonas";"2009";"População residente estimada (Pessoas)";"3393369"
"Amazonas";"2011";"População residente estimada (Pessoas)";"3538387"
"Amazonas";"2012";"População residente estimada (Pessoas)";"3590985"
"Amazonas";"2013";"População residente estimada (Pessoas)";"3807921"
"Amazonas";"2014";"População residente estimada (Pessoas)";"3873743"
"Amazonas";"2015";"População residente estimada (Pessoas)";"3938336"
"Amazonas";"2016";"População residente estimada (Pessoas)";"4001667"
"Roraima";"2001";"População residente estimada (Pessoas)";"337237"
"Roraima";"2002";"População residente estimada (Pessoas)";"346871"
"Roraima";"2003";"População residente estimada (Pessoas)";"357302"
"Roraima";"2004";"População residente estimada (Pessoas)";"381896"
"Roraima";"2005";"População residente estimada (Pessoas)";"391317"
"Roraima";"2006";"População residente estimada (Pessoas)";"403344"
"Roraima";"2008";"População residente estimada (Pessoas)";"412783"
"Roraima";"2009";"População residente estimada (Pessoas)";"421499"
"Roraima";"2011";"População residente estimada (Pessoas)";"460165"
"Roraima";"2012";"População residente estimada (Pessoas)";"469524"
"Roraima";"2013";"População residente estimada (Pessoas)";"488072"
"Roraima";"2014";"População residente estimada (Pessoas)";"496936"
"Roraima";"2015";"População residente estimada (Pessoas)";"505665"
"Roraima";"2016";"População residente estimada (Pessoas)";"514229"
"Pará";"2001";"População residente estimada (Pessoas)";"6341736"
"Pará";"2002";"População residente estimada (Pessoas)";"6453683"
"Pará";"2003";"População residente estimada (Pessoas)";"6574993"
"Pará";"2004";"População residente estimada (Pessoas)";"6850181"
"Pará";"2005";"População residente estimada (Pessoas)";"6970586"
"Pará";"2006";"População residente estimada (Pessoas)";"7110465"
"Pará";"2008";"População residente estimada (Pessoas)";"7321490"
"Pará";"2009";"População residente estimada (Pessoas)";"7431020"
"Pará";"2011";"População residente estimada (Pessoas)";"7688593"
"Pará";"2012";"População residente estimada (Pessoas)";"7777543"
"Pará";"2013";"População residente estimada (Pessoas)";"7969654"
"Pará";"2014";"População residente estimada (Pessoas)";"8073924"
"Pará";"2015";"População residente estimada (Pessoas)";"8175113"
"Pará";"2016";"População residente estimada (Pessoas)";"8272724"
"Amapá";"2001";"População residente estimada (Pessoas)";"498735"
"Amapá";"2002";"População residente estimada (Pessoas)";"516511"
"Amapá";"2003";"População residente estimada (Pessoas)";"534835"
"Amapá";"2004";"População residente estimada (Pessoas)";"547400"
"Amapá";"2005";"População residente estimada (Pessoas)";"594587"
"Amapá";"2006";"População residente estimada (Pessoas)";"615715"
"Amapá";"2008";"População residente estimada (Pessoas)";"613166"
"Amapá";"2009";"População residente estimada (Pessoas)";"626609"
"Amapá";"2011";"População residente estimada (Pessoas)";"684309"
"Amapá";"2012";"População residente estimada (Pessoas)";"698602"
"Amapá";"2013";"População residente estimada (Pessoas)";"734996"
"Amapá";"2014";"População residente estimada (Pessoas)";"750912"
"Amapá";"2015";"População residente estimada (Pessoas)";"766679"
"Amapá";"2016";"População residente estimada (Pessoas)";"782295"
"Tocantins";"2001";"População residente estimada (Pessoas)";"1184895"
"Tocantins";"2002";"População residente estimada (Pessoas)";"1207014"
"Tocantins";"2003";"População residente estimada (Pessoas)";"1230181"
"Tocantins";"2004";"População residente estimada (Pessoas)";"1262644"
"Tocantins";"2005";"População residente estimada (Pessoas)";"1305728"
"Tocantins";"2006";"População residente estimada (Pessoas)";"1332441"
"Tocantins";"2008";"População residente estimada (Pessoas)";"1280513"
"Tocantins";"2009";"População residente estimada (Pessoas)";"1292051"
"Tocantins";"2011";"População residente estimada (Pessoas)";"1400892"
"Tocantins";"2012";"População residente estimada (Pessoas)";"1417694"
"Tocantins";"2013";"População residente estimada (Pessoas)";"1478164"
"Tocantins";"2014";"População residente estimada (Pessoas)";"1496880"
"Tocantins";"2015";"População residente estimada (Pessoas)";"1515126"
"Tocantins";"2016";"População residente estimada (Pessoas)";"1532902"
"Maranhão";"2001";"População residente estimada (Pessoas)";"5730467"
"Maranhão";"2002";"População residente estimada (Pessoas)";"5803224"
"Maranhão";"2003";"População residente estimada (Pessoas)";"5873655"
"Maranhão";"2004";"População residente estimada (Pessoas)";"6021504"
"Maranhão";"2005";"População residente estimada (Pessoas)";"6103327"
"Maranhão";"2006";"População residente estimada (Pessoas)";"6184538"
"Maranhão";"2008";"População residente estimada (Pessoas)";"6305537"
"Maranhão";"2009";"População residente estimada (Pessoas)";"6367138"
"Maranhão";"2011";"População residente estimada (Pessoas)";"6645761"
"Maranhão";"2012";"População residente estimada (Pessoas)";"6714314"
"Maranhão";"2013";"População residente estimada (Pessoas)";"6794301"
"Maranhão";"2014";"População residente estimada (Pessoas)";"6850884"
"Maranhão";"2015";"População residente estimada (Pessoas)";"6904241"
"Maranhão";"2016";"População residente estimada (Pessoas)";"6954036"
"Piauí";"2001";"População residente estimada (Pessoas)";"2873010"
"Piauí";"2002";"População residente estimada (Pessoas)";"2898223"
"Piauí";"2003";"População residente estimada (Pessoas)";"2923725"
"Piauí";"2004";"População residente estimada (Pessoas)";"2974698"
"Piauí";"2005";"População residente estimada (Pessoas)";"3006885"
"Piauí";"2006";"População residente estimada (Pessoas)";"3036290"
"Piauí";"2008";"População residente estimada (Pessoas)";"3111881"
"Piauí";"2009";"População residente estimada (Pessoas)";"3145325"
"Piauí";"2011";"População residente estimada (Pessoas)";"3140328"
"Piauí";"2012";"População residente estimada (Pessoas)";"3160748"
"Piauí";"2013";"População residente estimada (Pessoas)";"3184166"
"Piauí";"2014";"População residente estimada (Pessoas)";"3194718"
"Piauí";"2015";"População residente estimada (Pessoas)";"3204028"
"Piauí";"2016";"População residente estimada (Pessoas)";"3212180"
"Ceará";"2001";"População residente estimada (Pessoas)";"7547620"
"Ceará";"2002";"População residente estimada (Pessoas)";"7654535"
"Ceará";"2003";"População residente estimada (Pessoas)";"7758441"
"Ceará";"2004";"População residente estimada (Pessoas)";"7976563"
"Ceará";"2005";"População residente estimada (Pessoas)";"8097276"
"Ceará";"2006";"População residente estimada (Pessoas)";"8217085"
"Ceará";"2008";"População residente estimada (Pessoas)";"8450528"
"Ceará";"2009";"População residente estimada (Pessoas)";"8547809"
"Ceará";"2011";"População residente estimada (Pessoas)";"8530155"
"Ceará";"2012";"População residente estimada (Pessoas)";"8606005"
"Ceará";"2013";"População residente estimada (Pessoas)";"8778576"
"Ceará";"2014";"População residente estimada (Pessoas)";"8842791"
"Ceará";"2015";"População residente estimada (Pessoas)";"8904459"
"Ceará";"2016";"População residente estimada (Pessoas)";"8963663"
"Rio Grande do Norte";"2001";"População residente estimada (Pessoas)";"2815244"
"Rio Grande do Norte";"2002";"População residente estimada (Pessoas)";"2852784"
"Rio Grande do Norte";"2003";"População residente estimada (Pessoas)";"2888058"
"Rio Grande do Norte";"2004";"População residente estimada (Pessoas)";"2962107"
"Rio Grande do Norte";"2005";"População residente estimada (Pessoas)";"3003087"
"Rio Grande do Norte";"2006";"População residente estimada (Pessoas)";"3043760"
"Rio Grande do Norte";"2008";"População residente estimada (Pessoas)";"3106436"
"Rio Grande do Norte";"2009";"População residente estimada (Pessoas)";"3137541"
"Rio Grande do Norte";"2011";"População residente estimada (Pessoas)";"3198657"
"Rio Grande do Norte";"2012";"População residente estimada (Pessoas)";"3228198"
"Rio Grande do Norte";"2013";"População residente estimada (Pessoas)";"3373959"
"Rio Grande do Norte";"2014";"População residente estimada (Pessoas)";"3408510"
"Rio Grande do Norte";"2015";"População residente estimada (Pessoas)";"3442175"
"Rio Grande do Norte";"2016";"População residente estimada (Pessoas)";"3474998"
"Paraíba";"2001";"População residente estimada (Pessoas)";"3468594"
"Paraíba";"2002";"População residente estimada (Pessoas)";"3494893"
"Paraíba";"2003";"População residente estimada (Pessoas)";"3518595"
"Paraíba";"2004";"População residente estimada (Pessoas)";"3568350"
"Paraíba";"2005";"População residente estimada (Pessoas)";"3595886"
"Paraíba";"2006";"População residente estimada (Pessoas)";"3623215"
"Paraíba";"2008";"População residente estimada (Pessoas)";"3742604"
"Paraíba";"2009";"População residente estimada (Pessoas)";"3769977"
"Paraíba";"2011";"População residente estimada (Pessoas)";"3791315"
"Paraíba";"2012";"População residente estimada (Pessoas)";"3815171"
"Paraíba";"2013";"População residente estimada (Pessoas)";"3914421"
"Paraíba";"2014";"População residente estimada (Pessoas)";"3943885"
"Paraíba";"2015";"População residente estimada (Pessoas)";"3972202"
"Paraíba";"2016";"População residente estimada (Pessoas)";"3999415"
"Pernambuco";"2001";"População residente estimada (Pessoas)";"8008207"
"Pernambuco";"2002";"População residente estimada (Pessoas)";"8084667"
"Pernambuco";"2003";"População residente estimada (Pessoas)";"8161862"
"Pernambuco";"2004";"População residente estimada (Pessoas)";"8323911"
"Pernambuco";"2005";"População residente estimada (Pessoas)";"8413593"
"Pernambuco";"2006";"População residente estimada (Pessoas)";"8502603"
"Pernambuco";"2008";"População residente estimada (Pessoas)";"8734196"
"Pernambuco";"2009";"População residente estimada (Pessoas)";"8810256"
"Pernambuco";"2011";"População residente estimada (Pessoas)";"8864906"
"Pernambuco";"2012";"População residente estimada (Pessoas)";"8931028"
"Pernambuco";"2013";"População residente estimada (Pessoas)";"9208550"
"Pernambuco";"2014";"População residente estimada (Pessoas)";"9277727"
"Pernambuco";"2015";"População residente estimada (Pessoas)";"9345173"
"Pernambuco";"2016";"População residente estimada (Pessoas)";"9410336"
"Alagoas";"2001";"População residente estimada (Pessoas)";"2856629"
"Alagoas";"2002";"População residente estimada (Pessoas)";"2887535"
"Alagoas";"2003";"População residente estimada (Pessoas)";"2917664"
"Alagoas";"2004";"População residente estimada (Pessoas)";"2980910"
"Alagoas";"2005";"População residente estimada (Pessoas)";"3015912"
"Alagoas";"2006";"População residente estimada (Pessoas)";"3050652"
"Alagoas";"2008";"População residente estimada (Pessoas)";"3127560"
"Alagoas";"2009";"População residente estimada (Pessoas)";"3156108"
"Alagoas";"2011";"População residente estimada (Pessoas)";"3143384"
"Alagoas";"2012";"População residente estimada (Pessoas)";"3165472"
"Alagoas";"2013";"População residente estimada (Pessoas)";"3300935"
"Alagoas";"2014";"População residente estimada (Pessoas)";"3321730"
"Alagoas";"2015";"População residente estimada (Pessoas)";"3340932"
"Alagoas";"2016";"População residente estimada (Pessoas)";"3358963"
"Sergipe";"2001";"População residente estimada (Pessoas)";"1817301"
"Sergipe";"2002";"População residente estimada (Pessoas)";"1846039"
"Sergipe";"2003";"População residente estimada (Pessoas)";"1874613"
"Sergipe";"2004";"População residente estimada (Pessoas)";"1934596"
"Sergipe";"2005";"População residente estimada (Pessoas)";"1967791"
"Sergipe";"2006";"População residente estimada (Pessoas)";"2000738"
"Sergipe";"2008";"População residente estimada (Pessoas)";"1999374"
