Unidade da Federação,Ano,Total
Alagoas,2001,177073
Alagoas,2002,188077
Alagoas,2003,196352
Alagoas,2004,209839
Alagoas,2005,216708
Alagoas,2006,222576
Alagoas,2007,247379
Alagoas,2008,270240
Alagoas,2009,274692
Alagoas,2010,301620
Alagoas,2011,335744
Alagoas,2012,360643
Alagoas,2013,350351
Alagoas,2014,362533
Alagoas,2015,361131
Alagoas,2016,350817
Amazonas,2001,180613
Amazonas,2002,191960
Amazonas,2003,205262
Amazonas,2004,235500
Amazonas,2005,276176
Amazonas,2006,290700
Amazonas,2007,325120
Amazonas,2008,373120
Amazonas,2009,373471
Amazonas,2010,409275
Amazonas,2011,464222
Amazonas,2012,492538
Amazonas,2013,499853
Amazonas,2014,501147
Amazonas,2015,478129
Amazonas,2016,427750
Bahia,2001,907018
Bahia,2002,960772
Bahia,2003,979571
Bahia,2004,1088805
Bahia,2005,1178279
Bahia,2006,1227020
Bahia,2007,1357214
Bahia,2008,1521154
Bahia,2009,1576573
Bahia,2010,1729036
Bahia,2011,1852719
Bahia,2012,1987195
Bahia,2013,1976050
Bahia,2014,2034892
Bahia,2015,2006666
Bahia,2016,1919921
Ceará,2001,530355
Ceará,2002,566336
Ceará,2003,589017
Ceará,2004,627740
Ceará,2005,674434
Ceará,2006,718050
Ceará,2007,783798
Ceará,2008,864901
Ceará,2009,920800
Ceará,2010,1017294
Ceará,2011,1123245
Ceará,2012,1201538
Ceará,2013,1230365
Ceará,2014,1286655
Ceará,2015,1292267
Ceará,2016,1234308
Mato Grosso do Sul,2001,247316
Mato Grosso do Sul,2002,265875
Mato Grosso do Sul,2003,279907
Mato Grosso do Sul,2004,306908
Mato Grosso do Sul,2005,320183
Mato Grosso do Sul,2006,330966
Mato Grosso do Sul,2007,348692
Mato Grosso do Sul,2008,401603
Mato Grosso do Sul,2009,409392
Mato Grosso do Sul,2010,443912
Mato Grosso do Sul,2011,484076
Mato Grosso do Sul,2012,523013
Mato Grosso do Sul,2013,544721
Mato Grosso do Sul,2014,545317
Mato Grosso do Sul,2015,536400
Mato Grosso do Sul,2016,526686
Espírito Santo,2001,423670
Espírito Santo,2002,449220
Espírito Santo,2003,462124
Espírito Santo,2004,497164
Espírito Santo,2005,540615
Espírito Santo,2006,582966
Espírito Santo,2007,614084
Espírito Santo,2008,680021
Espírito Santo,2009,695573
Espírito Santo,2010,747092
Espírito Santo,2011,792328
Espírito Santo,2012,834029
Espírito Santo,2013,849500
Espírito Santo,2014,858152
Espírito Santo,2015,836655
Espírito Santo,2016,779012
Goiás,2001,555818
Goiás,2002,587589
Goiás,2003,602701
Goiás,2004,662953
Goiás,2005,707630
Goiás,2006,738165
Goiás,2007,790405
Goiás,2008,898514
Goiás,2009,952485
Goiás,2010,1041531
Goiás,2011,1134663
Goiás,2012,1218212
Goiás,2013,1273386
Goiás,2014,1295768
Goiás,2015,1268288
Goiás,2016,1219972
Maranhão,2001,191903
Maranhão,2002,199708
Maranhão,2003,203112
Maranhão,2004,220492
Maranhão,2005,247038
Maranhão,2006,259880
Maranhão,2007,308102
Maranhão,2008,369399
Maranhão,2009,378094
Maranhão,2010,417466
Maranhão,2011,459899
Maranhão,2012,525834
Maranhão,2013,524290
Maranhão,2014,540196
Maranhão,2015,526402
Maranhão,2016,515910
Mato Grosso,2001,282705
Mato Grosso,2002,305663
Mato Grosso,2003,327486
Mato Grosso,2004,373307
Mato Grosso,2005,404191
Mato Grosso,2006,400638
Mato Grosso,2007,437271
Mato Grosso,2008,498591
Mato Grosso,2009,531549
Mato Grosso,2010,573115
Mato Grosso,2011,616374
Mato Grosso,2012,668975
Mato Grosso,2013,707494
Mato Grosso,2014,736076
Mato Grosso,2015,722240
Mato Grosso,2016,694733
Minas Gerais,2001,2353057
Minas Gerais,2002,2453381
Minas Gerais,2003,2519916
